port	company	operator_or_owner	month	year	K_low	K_central	K_high	K_HPC_low	K_HPC_central	K_HPC_high	K_IPC_low	K_IPC_central	K_IPC_high	K_cluster_low	K_cluster_central	K_cluster_high
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2024-09-01	2024	1149089.5849308618	1031815.2490685123	924372.4890944612	1149089.5849308618	1031815.2490685123	924372.4890944612	11572479.392074464	10374056.44116196	9285601.425607242	12721568.977005325	11405871.690230472	10209973.914701702
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2024-10-01	2024	1135285.042797584	1017146.6568053502	909353.1504359724	1135285.042797584	1017146.6568053502	909353.1504359724	11550070.211677529	10337890.402431436	9238740.199212058	12685355.254475113	11355037.059236785	10148093.34964803
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2024-11-01	2024	1121366.1655556308	1002466.1524870292	894481.0705136195	1121366.1655556308	1002466.1524870292	894481.0705136195	11526959.64499094	10300651.280145034	9190565.366435332	12648325.81054657	11303117.432632063	10085046.436948951
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2024-12-01	2024	1167982.9011381282	1048466.6565718862	940449.8818974128	1167982.9011381282	1048466.6565718862	940449.8818974128	11504638.60994207	10264741.146509243	9144183.754238533	12672621.511080198	11313207.803081129	10084633.636135945
Haifa	Haifa cluster (HPC + IPC)	Haifa port cluster (HPC + IPC)	2018-12-01	2018	12763818.207287256	12763818.207287256	12763818.207287256	1171216.357998324	1171216.357998324	1171216.357998324	11592601.849288931	11592601.849288931	11592601.849288931	12763818.207287256	12763818.207287256	12763818.207287256
Haifa	Haifa cluster (HPC + IPC)	Haifa port cluster (HPC + IPC)	2019-01-01	2019	12814422.344767464	12793461.585698424	12772109.469818234	1169214.6688956444	1167172.6249497116	1165076.840583413	11645207.67587182	11626288.960748712	11607032.62923482	12814422.344767464	12793461.585698424	12772109.469818234
Haifa	Haifa cluster (HPC + IPC)	Haifa port cluster (HPC + IPC)	2019-02-01	2019	12865269.35347587	12823216.894057246	12780452.949994512	1167217.132135922	1163142.9299782943	1158971.5769940724	11698052.221339948	11660073.964078952	11621481.37300044	12865269.35347587	12823216.894057246	12780452.949994512
Haifa	Haifa cluster (HPC + IPC)	Haifa port cluster (HPC + IPC)	2019-03-01	2019	12911315.210571917	12850098.939659864	12787943.613570513	1165326.3470949768	1159425.1119508226	1153396.3034439925	11745988.86347694	11690673.827709042	11634547.31012652	12911315.210571917	12850098.939659864	12787943.613570513
Haifa	Haifa cluster (HPC + IPC)	Haifa port cluster (HPC + IPC)	2019-04-01	2019	12962627.699491628	12880068.200114097	12796386.26326612	1163336.9576934697	1155422.2721471528	1147355.9583653756	11799290.741798157	11724645.927966945	11649030.304900745	12962627.699491628	12880068.200114097	12796386.26326612
Haifa	Haifa cluster (HPC + IPC)	Haifa port cluster (HPC + IPC)	2019-05-01	2019	13012489.304774133	12909148.07764445	12804575.950131038	1161385.8117272533	1151531.931944847	1141512.6782294172	11851103.49304688	11757616.145699603	11663063.27190162	13012489.304774133	12909148.07764445	12804575.950131038
