port	terminal	year	month	date	L_hours
Haifa	Haifa-Bayport	2024	8	2024-08-31	862.3116666666665
Haifa	Haifa-Bayport	2024	9	2024-09-30	862.3116666666665
Haifa	Haifa-Bayport	2024	10	2024-10-31	941.6466666666668
Haifa	Haifa-Bayport	2024	11	2024-11-30	941.6466666666668
Haifa	Haifa-Bayport	2024	12	2024-12-31	941.6466666666668
Haifa	Haifa-Legacy	2018	1	2018-01-31	2081.537037037037
Haifa	Haifa-Legacy	2018	2	2018-02-28	2085.8888888888887
Haifa	Haifa-Legacy	2018	3	2018-03-31	2348.12962962963
Haifa	Haifa-Legacy	2018	4	2018-04-30	2420.0555555555557
Haifa	Haifa-Legacy	2018	5	2018-05-31	2368.1296296296296
Haifa	Haifa-Legacy	2018	6	2018-06-30	2436.259259259259
Haifa	Haifa-Legacy	2018	7	2018-07-31	2516.9259259259256
Haifa	Haifa-Legacy	2018	8	2018-08-31	2364.8333333333335
Haifa	Haifa-Legacy	2018	9	2018-09-30	2056.5185185185187
Haifa	Haifa-Legacy	2018	10	2018-10-31	2250.962962962963
Haifa	Haifa-Legacy	2018	11	2018-11-30	2204.1481481481483
Haifa	Haifa-Legacy	2018	12	2018-12-31	2073.0925925925926
Haifa	Haifa-Legacy	2019	1	2019-01-31	2196.6607142857147
Haifa	Haifa-Legacy	2019	2	2019-02-28	1900.767857142857
Haifa	Haifa-Legacy	2019	3	2019-03-31	2245.464285714286
Haifa	Haifa-Legacy	2019	4	2019-04-30	2273.5
Haifa	Haifa-Legacy	2019	5	2019-05-31	2109.482142857143
Haifa	Haifa-Legacy	2019	6	2019-06-30	2000.4821428571431
Haifa	Haifa-Legacy	2019	7	2019-07-31	2076.1607142857147
Haifa	Haifa-Legacy	2019	8	2019-08-31	1857.25
Haifa	Haifa-Legacy	2019	9	2019-09-30	1829.4285714285716
Haifa	Haifa-Legacy	2019	10	2019-10-31	2064.714285714286
Haifa	Haifa-Legacy	2019	11	2019-11-30	2012.732142857143
Haifa	Haifa-Legacy	2019	12	2019-12-31	2061.125
Haifa	Haifa-Legacy	2020	1	2020-01-31	2384.75
Haifa	Haifa-Legacy	2020	2	2020-02-29	2318.2115384615386
