Port	Period	Freq	Year	MonthIndex	TEU_thousands	TEU
Ashdod	Q4-2023	Quarterly	2023	202312	240.054	240054.0
Ashdod	Q1-2024	Quarterly	2024	202403	280.925	280925.0
Ashdod	Q2-2024	Quarterly	2024	202406	262.311	262311.0
Ashdod	Q3-2024	Quarterly	2024	202409	309.83	309830.0
Ashdod	Q4-2024	Quarterly	2024	202412	302.369	302369.0
Ashdod HCT	Q1-2020	Quarterly	2020	202003		
Ashdod HCT	Q2-2020	Quarterly	2020	202006		
Ashdod HCT	Q3-2020	Quarterly	2020	202009		
Ashdod HCT	Q4-2020	Quarterly	2020	202012		
Ashdod HCT	Q1-2021	Quarterly	2021	202103		
Ashdod HCT	Q2-2021	Quarterly	2021	202106		
Ashdod HCT	Q3-2021	Quarterly	2021	202109	8.69519848739153	8695.19848739153
Ashdod HCT	Q4-2021	Quarterly	2021	202112	15.6282163177368	15628.2163177368
Ashdod HCT	Q1-2022	Quarterly	2022	202203	20.319	20319.0
Ashdod HCT	Q2-2022	Quarterly	2022	202206	26.586	26586.0
Ashdod HCT	Q3-2022	Quarterly	2022	202209	60.333	60333.0
Ashdod HCT	Q4-2022	Quarterly	2022	202212	58.99725	58997.25
Ashdod HCT	Q1-2023	Quarterly	2023	202303	88.325	88325.0
Ashdod HCT	Q2-2023	Quarterly	2023	202306	150.54375	150543.75
Ashdod HCT	Q3-2023	Quarterly	2023	202309	148.68825	148688.25
Ashdod HCT	Q4-2023	Quarterly	2023	202312	87.41125	87411.25
Ashdod HCT	Q1-2024	Quarterly	2024	202403	102.07275	102072.75
Ashdod HCT	Q2-2024	Quarterly	2024	202406	184.935	184935.0
Ashdod HCT	Q3-2024	Quarterly	2024	202409	218.2645	218264.5
Ashdod HCT	Q4-2024	Quarterly	2024	202412	187.39475	187394.75
Eilat	01-2008	Monthly	2008	200801	0.002	2.0
Eilat	02-2008	Monthly	2008	200802	0.0	0.0
Eilat	03-2008	Monthly	2008	200803	0.0	0.0
Eilat	04-2008	Monthly	2008	200804	0.0	0.0
Eilat	05-2008	Monthly	2008	200805	0.009	9.0
Eilat	06-2008	Monthly	2008	200806	0.0	0.0
Eilat	07-2008	Monthly	2008	200807	0.002	2.0
Eilat	08-2008	Monthly	2008	200808	0.0	0.0
Eilat	09-2008	Monthly	2008	200809	0.001	1.0
Eilat	10-2008	Monthly	2008	200810	0.064	64.0
Eilat	11-2008	Monthly	2008	200811	0.873	873.0
Eilat	12-2008	Monthly	2008	200812	1.072	1072.0
Eilat	01-2009	Monthly	2009	200901	1.344	1344.0
Eilat	02-2009	Monthly	2009	200902	1.546	1546.0
Eilat	03-2009	Monthly	2009	200903	0.919	919.0
Eilat	04-2009	Monthly	2009	200904	1.026	1026.0
Eilat	05-2009	Monthly	2009	200905	0.0	0.0
Eilat	06-2009	Monthly	2009	200906	0.018	18.0
Eilat	07-2009	Monthly	2009	200907	0.01	10.0
Eilat	08-2009	Monthly	2009	200908	0.101	101.0
Eilat	09-2009	Monthly	2009	200909	0.01	10.0
Eilat	10-2009	Monthly	2009	200910	0.027	27.0
Eilat	11-2009	Monthly	2009	200911	0.0	0.0
Eilat	12-2009	Monthly	2009	200912	0.0	0.0
Eilat	01-2010	Monthly	2010	201001	0.0	0.0
Eilat	02-2010	Monthly	2010	201002	0.0	0.0
Eilat	03-2010	Monthly	2010	201003	0.0	0.0
Eilat	04-2010	Monthly	2010	201004	0.0	0.0
Eilat	05-2010	Monthly	2010	201005	0.0	0.0
Eilat	06-2010	Monthly	2010	201006	0.0	0.0
Eilat	07-2010	Monthly	2010	201007	0.0	0.0
Eilat	08-2010	Monthly	2010	201008	0.0	0.0
Eilat	09-2010	Monthly	2010	201009	0.0	0.0
Eilat	10-2010	Monthly	2010	201010	0.0	0.0
Eilat	11-2010	Monthly	2010	201011	0.0	0.0
Eilat	12-2010	Monthly	2010	201012	0.0	0.0
Eilat	01-2011	Monthly	2011	201101	0.0	0.0
Eilat	02-2011	Monthly	2011	201102	0.0	0.0
Eilat	03-2011	Monthly	2011	201103	0.0	0.0
Eilat	04-2011	Monthly	2011	201104	0.049	49.0
Eilat	05-2011	Monthly	2011	201105	0.0	0.0
Eilat	06-2011	Monthly	2011	201106	0.0	0.0
Eilat	07-2011	Monthly	2011	201107	0.0	0.0
