PortOrTerminal	Month-Year	tons_k
Haifa	12-2013	2118.6016
Haifa	01-2014	2205.212936
Haifa	02-2014	1830.651171
Haifa	03-2014	2272.564187
Haifa	04-2014	2433.022507
Haifa	05-2014	2412.002048
Haifa	06-2014	2387.710084
Haifa	07-2014	2627.396197
Haifa	08-2014	2257.762444
Haifa	09-2014	2234.985833
Haifa	10-2014	2264.157298
Haifa	11-2014	2147.511717
Haifa	12-2014	2427.180479
Haifa	01-2015	2221.024496
Haifa	02-2015	2162.030125
Haifa	03-2015	2712.24233
Haifa	04-2015	2200.9416
Haifa	05-2015	2276.6903
Haifa	06-2015	2253.8384
Haifa	07-2015	2174.0535
Haifa	08-2015	2025.9071
Haifa	09-2015	2190.4899
Haifa	10-2015	2365.0333
Haifa	11-2015	2279.4775
Haifa	12-2015	2397.6987
Haifa	01-2016	2313.453611
Haifa	02-2016	2313.537246
Haifa	03-2016	2523.987039
Haifa	04-2016	2223.569113
Haifa	05-2016	2663.62438
Haifa	06-2016	2309.499557
Haifa	07-2016	2242.265803
Haifa	08-2016	2184.177
Haifa	09-2016	2149.087297
Haifa	10-2016	2329.7873
Haifa	11-2016	2305.655336
Haifa	12-2016	2467.926223
Haifa	01-2017	2463.60301
Haifa	02-2017	2122.782523
Haifa	03-2017	2557.76691
Haifa	04-2017	2611.9913
Haifa	05-2017	2493.67414
Haifa	06-2017	2588.712272
Haifa	07-2017	2401.290323
Haifa	08-2017	2515.56025
Haifa	09-2017	2263.36016
Haifa	10-2017	2445.45105
Haifa	11-2017	2329.070546
Haifa	12-2017	2458.541686
Haifa	01-2018	2432.458313
Haifa	02-2018	2617.94172
Haifa	03-2018	2530.48629
Haifa	04-2018	2830.21676
Haifa	05-2018	2650.406001
Haifa	06-2018	2475.433331
Haifa	07-2018	2246.47007
Haifa	08-2018	2254.74621
Haifa	09-2018	2282.92406
Haifa	10-2018	2442.325644
Haifa	11-2018	2369.77408
Haifa	12-2018	2397.84986
Haifa	01-2019	2470.00768
Haifa	02-2019	2325.57696
Haifa	03-2019	2816.98927
Haifa	04-2019	2526.06042
Haifa	05-2019	2426.77123
Haifa	06-2019	2482.65189
Haifa	07-2019	2459.65882
Haifa	08-2019	2214.66853
Haifa	09-2019	2192.67023
Haifa	10-2019	2862.36822
Haifa	11-2019	2138.06659
Haifa	12-2019	2168.77642
Haifa	01-2020	2540.187838
Haifa	02-2020	2352.277288
Haifa	03-2020	2597.15557
Haifa	04-2020	2293.92619
Haifa	05-2020	2317.983464
Haifa	06-2020	1967.24395
Haifa	07-2020	1982.08898
Haifa	08-2020	2307.12504
Haifa	09-2020	2066.41962
Haifa	10-2020	2266.6985
Haifa	11-2020	2028.255749
Haifa	12-2020	2078.59149
Haifa	01-2021	1498.3455
Haifa	02-2021	1407.9821
Haifa	03-2021	1500.3883
Haifa	04-2021	1514.3851
Haifa	05-2021	1459.7275
Haifa	06-2021	1498.401
Haifa	07-2021	1380.3988
Haifa	08-2021	1403.2925
Haifa	09-2021	1291.7164
Haifa	10-2021	1492.8805
Haifa	11-2021	1367.0141
Haifa	12-2021	1424.8997
Haifa	01-2022	1461.4991
Haifa	02-2022	1459.0753
Haifa	03-2022	1592.0994
Haifa	04-2022	1425.3648
Haifa	05-2022	1323.1386
Haifa	06-2022	1286.2792
Haifa	07-2022	1109.4355
Haifa	08-2022	1157.6085
Haifa	09-2022	938.2652
Haifa	10-2022	926.2706
Haifa	11-2022	764.51
Haifa	12-2022	799.3105
Haifa	01-2023	926.3116
Haifa	02-2023	816.3438
Haifa	03-2023	889.6865
Haifa	04-2023	992.5062
Haifa	05-2023	1172.9309
Haifa	06-2023	1065.1188
Haifa	07-2023	1067.4516
Haifa	08-2023	1090.7919
Haifa	09-2023	934.3159
Haifa	10-2023	1164.2664
Haifa	11-2023	835.1009
Haifa	12-2023	707.4714
Haifa	01-2024	737.2769
Haifa	02-2024	850.7609
Haifa	03-2024	772.1483
Haifa	04-2024	755.3509
Haifa	05-2024	756.0373
Haifa	06-2024	725.9215
Haifa	07-2024	806.3885
Haifa	08-2024	874.817
Haifa	09-2024	904.6701
Haifa	10-2024	908.0645
Haifa	11-2024	965.8225
Haifa	12-2024	851.4577
Haifa	01-2025	990.7585
Haifa	02-2025	937.1375
Haifa	03-2025	1068.9128
Haifa	04-2025	990.3401
Haifa	05-2025	1057.1068
Haifa	06-2025	796.2814
Haifa	07-2025	914.7633
Haifa	08-2025	735.5135
Haifa SIPG	07-2021	6.3698
Haifa SIPG	08-2021	7.1
Haifa SIPG	09-2021	1.7304
Haifa SIPG	10-2021	18.0828
Haifa SIPG	11-2021	19.484
Haifa SIPG	12-2021	22.448
Haifa SIPG	01-2022	70.229389
Haifa SIPG	02-2022	80.31283
Haifa SIPG	03-2022	113.695783
Haifa SIPG	04-2022	183.084415
Haifa SIPG	05-2022	294.928001
Haifa SIPG	06-2022	259.772356
Haifa SIPG	07-2022	356.585872
Haifa SIPG	08-2022	389.60791
Haifa SIPG	09-2022	441.155694
Haifa SIPG	10-2022	465.296035
Haifa SIPG	11-2022	604.526071
Haifa SIPG	12-2022	645.669523
Haifa SIPG	01-2023	818.797296
Haifa SIPG	02-2023	699.640591
