port	terminal	year	month	quarter	TEU_port_m	share_i_p_q	TEU_i_m	Pi_teu_per_hour_i_y	H_annual_i_y	w_i_m_in_year	L_hours_i_m
Ashdod	Ashdod-Legacy	2021	8	3.0	155939.0567175931	0.979161274241945	152689.4854796854	39.0	41342.409399789845	0.0946997301110255	3915.115012299625
Ashdod	Ashdod-Legacy	2021	9	3.0	107603.72972445996	0.979161274241945	105361.40511018805	39.0	41342.409399789845	0.0653463242521746	2701.5744900048217
Ashdod	Ashdod-Legacy	2021	10	4.0	136624.0	0.962164857615926	131454.81150691828	39.0	41342.409399789845	0.0815297473325833	3370.636192485084
Ashdod	Ashdod-Legacy	2021	11	4.0	138218.42823376844	0.962164857615926	132988.9143214409	39.0	41342.409399789845	0.0824812150910963	3409.9721620882287
Ashdod	Ashdod-Legacy	2021	12	4.0	138218.42823376844	0.962164857615926	132988.9143214409	39.0	41342.409399789845	0.0824812150910963	3409.9721620882287
Ashdod	Ashdod-Legacy	2022	1	1.0	126939.33333333331	0.9466438036017204	120166.33333333331	37.0	38676.72972972973	0.0839713895521598	3247.738738738738
Ashdod	Ashdod-Legacy	2022	2	1.0	126939.33333333331	0.9466438036017204	120166.33333333331	37.0	38676.72972972973	0.0839713895521598	3247.738738738738
Ashdod	Ashdod-Legacy	2022	3	1.0	126939.33333333331	0.9466438036017204	120166.33333333331	37.0	38676.72972972973	0.0839713895521598	3247.738738738738
Ashdod	Ashdod-Legacy	2022	4	2.0	133588.33333333334	0.9336618716704304	124726.33333333334	37.0	38676.72972972973	0.0871578855176786	3370.981981981982
Ashdod	Ashdod-Legacy	2022	5	2.0	133588.33333333334	0.9336618716704304	124726.33333333334	37.0	38676.72972972973	0.0871578855176786	3370.981981981982
Ashdod	Ashdod-Legacy	2022	6	2.0	133588.33333333334	0.9336618716704304	124726.33333333334	37.0	38676.72972972973	0.0871578855176786	3370.981981981982
Ashdod	Ashdod-Legacy	2022	7	3.0	144892.66666666666	0.8612007048895964	124781.66666666666	37.0	38676.72972972973	0.0871965520622894	3372.477477477477
Ashdod	Ashdod-Legacy	2022	8	3.0	144892.66666666666	0.8612007048895964	124781.66666666666	37.0	38676.72972972973	0.0871965520622894	3372.477477477477
Ashdod	Ashdod-Legacy	2022	9	3.0	144892.66666666666	0.8612007048895964	124781.66666666666	37.0	38676.72972972973	0.0871965520622894	3372.477477477477
Ashdod	Ashdod-Legacy	2022	10	4.0	127004.41666666669	0.8451569597645227	107338.66666666669	37.0	38676.72972972973	0.0750075062012053	2901.045045045045
