port	date	TEU	tons	L_hours	LP_port
Haifa	2010-08-01	118677.0	1936847.0		
Haifa	2010-09-01	105246.0	1774372.0		
Haifa	2010-10-01	100435.0	1767699.3		
Haifa	2010-11-01	102102.0	1721241.2		
Haifa	2010-12-01	97820.0	1684631.9		
Haifa	2011-01-01	86518.0	1525170.5		
Haifa	2011-02-01	100097.0	1737424.8		
Haifa	2011-03-01	115370.0	2080636.8000000005		
Haifa	2011-04-01	102965.0	1911060.5		
Haifa	2011-05-01	117208.0	2014700.1		
Haifa	2011-06-01	118078.0	2141537.9		
Haifa	2011-07-01	105812.0	1949421.1		
Haifa	2011-08-01	108437.0	2038212.0		
Haifa	2011-09-01	90759.0	1656888.1		
Haifa	2011-10-01	97236.0	2000285.3		
Haifa	2011-11-01	100075.0	1854520.2		
Haifa	2011-12-01	92960.0	1642383.6		
Haifa	2012-01-01	119345.0	2052133.5		
Haifa	2012-02-01	104673.0	1620415.9		
Haifa	2012-03-01	133509.0	2278564.5		
Haifa	2012-04-01	126614.0	2064399.1999999995		
Haifa	2012-05-01	125025.0	2277282.7		
Haifa	2012-06-01	110551.0	1909408.8		
Haifa	2012-07-01	114893.0	2015107.3		
Haifa	2012-08-01	109500.0	2057228.6		
Haifa	2012-09-01	97888.0	1826906.8		
Haifa	2012-10-01	105790.0	1994132.0		
Haifa	2012-11-01	106433.0	1874525.5		
Haifa	2012-12-01	116400.0	2018011.4		
Haifa	2013-01-01	131694.0	2187571.4		
Haifa	2013-02-01	117912.0	2106727.9		
Haifa	2013-03-01	130889.0	2219355.0		
Haifa	2013-04-01	133791.0	2419272.5999999996		
Haifa	2013-05-01	132723.0	2464014.4		
Haifa	2013-06-01	119385.0	2137980.9		
Haifa	2013-07-01	125306.0	2271838.4		
Haifa	2013-08-01	108204.0	2358908.1999999997		
Haifa	2013-09-01	87811.0	1915923.0		
Haifa	2013-10-01	83851.0	1745361.9		
Haifa	2013-11-01	82474.0	1842282.4		
Haifa	2013-12-01	102949.0	2118601.6		
Haifa	2014-01-01	94993.0	2205212.936		
Haifa	2014-02-01	85613.0	1830651.171		
Haifa	2014-03-01	102921.0	2272564.187		
Haifa	2014-04-01	106096.0	2433022.507		
Haifa	2014-05-01	102079.0	2412002.048		
Haifa	2014-06-01	100898.0	2387710.084		
Haifa	2014-07-01	115842.0	2627396.197		
Haifa	2014-08-01	101495.0	2257762.444		
Haifa	2014-09-01	97100.0	2234985.833		
Haifa	2014-10-01	99709.0	2264157.298		
Haifa	2014-11-01	88894.0	2147511.7169999997		
Haifa	2014-12-01	100604.0	2427180.4790000003		
Haifa	2015-01-01	100223.0	2221024.496		
Haifa	2015-02-01	97627.0	2162030.125		
Haifa	2015-03-01	125196.0	2712242.33		
Haifa	2015-04-01	103952.0	2200941.6		
Haifa	2015-05-01	96330.0	2276690.3000000003		
Haifa	2015-06-01	107838.0	2253838.4		
Haifa	2015-07-01	103872.0	2174053.5		
Haifa	2015-08-01	85558.0	2025907.1		
Haifa	2015-09-01	92980.0	2190489.9		
Haifa	2015-10-01	100286.0	2365033.3000000003		
Haifa	2015-11-01	99183.0	2279477.5		
Haifa	2015-12-01	101530.0	2397698.6999999997		
Haifa	2016-01-01	103429.0	2313453.611		
Haifa	2016-02-01	109820.0	2313537.246		
Haifa	2016-03-01	124406.0	2523987.039		
Haifa	2016-04-01	99604.0	2223569.113		
Haifa	2016-05-01	107661.0	2663624.3800000004		
Haifa	2016-06-01	111421.0	2309499.557		
Haifa	2016-07-01	102178.0	2242265.803		
Haifa	2016-08-01	106552.0	2184177.0		
Haifa	2016-09-01	104877.0	2149087.2970000003		
Haifa	2016-10-01	94866.0	2329787.3		
Haifa	2016-11-01	100878.0	2305655.3359999997		
Haifa	2016-12-01	102246.0	2467926.223		
Haifa	2017-01-01	116802.0	2463603.01		
Haifa	2017-02-01	109037.0	2122782.523		
Haifa	2017-03-01	124347.0	2557766.9099999997		
Haifa	2017-04-01	120904.0	2611991.3000000003		
Haifa	2017-05-01	121575.0	2493674.14		
Haifa	2017-06-01	121260.0	2588712.2720000003		
Haifa	2017-07-01	109393.0	2401290.3230000003		
Haifa	2017-08-01	110450.0	2515560.25		
Haifa	2017-09-01	98574.0	2263360.16		
Haifa	2017-10-01	103222.0	2445451.0500000003		
Haifa	2017-11-01	104430.0	2329070.546		
Haifa	2017-12-01	103311.0	2458541.686		
Haifa	2018-01-01	112403.0	2432458.313	54.0	0.0
Haifa	2018-02-01	112638.0	2617941.7199999997	54.0	0.0
Haifa	2018-03-01	126799.0	2530486.29	54.0	0.0
Haifa	2018-04-01	130683.0	2830216.76	54.0	0.0
Haifa	2018-05-01	127879.0	2650406.0009999997	54.0	0.0
Haifa	2018-06-01	131558.0	2475433.331	54.0	0.0
Haifa	2018-07-01	135914.0	2246470.07	54.0	0.0
Haifa	2018-08-01	127701.0	2254746.21	54.0	0.0
Haifa	2018-09-01	111052.0	2282924.06	54.0	0.0
Haifa	2018-10-01	121552.0	2442325.644	54.0	0.0
Haifa	2018-11-01	119024.0	2369774.08	54.0	0.0
Haifa	2018-12-01	111947.0	2397849.86	54.0	0.0
Haifa	2019-01-01	123013.0	2470007.68	56.0	0.0
Haifa	2019-02-01	106443.0	2325576.96	56.0	0.0
Haifa	2019-03-01	125746.0	2816989.27	56.0	0.0
Haifa	2019-04-01	127316.0	2526060.42	56.0	0.0
Haifa	2019-05-01	118131.0	2426771.23	56.0	0.0
Haifa	2019-06-01	112027.0	2482651.89	56.0	0.0
Haifa	2019-07-01	116265.0	2459658.8200000003	56.0	0.0
Haifa	2019-08-01	104006.0	2214668.53	56.0	0.0
Haifa	2019-09-01	102448.0	2192670.23	56.0	0.0
Haifa	2019-10-01	115624.0	2862368.2199999997	56.0	0.0
Haifa	2019-11-01	112713.0	2138066.59	56.0	0.0
Haifa	2019-12-01	115423.0	2168776.42	56.0	0.0
Haifa	2020-01-01	124007.0	2540187.838	52.0	0.0
Haifa	2020-02-01	120547.0	2352277.288	52.0	0.0
Haifa	2020-03-01	129194.0	2597155.57	52.0	0.0
Haifa	2020-04-01	132637.0	2293926.19	52.0	0.0
Haifa	2020-05-01	120993.0	2317983.4639999997	52.0	0.0
Haifa	2020-06-01	112028.0	1967243.95	52.0	0.0
Haifa	2020-07-01	124557.0	1982088.98	52.0	0.0
Haifa	2020-08-01	113777.0	2307125.04	52.0	0.0
Haifa	2020-09-01	113342.0	2066419.62	52.0	0.0
Haifa	2020-10-01	132974.0	2266698.5	52.0	0.0
Haifa	2020-11-01	125407.0	2028255.749	52.0	0.0
Haifa	2020-12-01	114971.0	2078591.49	52.0	0.0
Haifa	2021-01-01	127132.0	1498345.5	90.16326530612244	0.0
Haifa	2021-02-01	122928.0	1407982.1	90.16326530612244	0.0
Haifa	2021-03-01	126274.0	1500388.3	90.16326530612244	0.0
Haifa	2021-04-01	121885.0	1514385.1	90.16326530612244	0.0
Haifa	2021-05-01	134011.0	1459727.5	90.16326530612244	0.0
Haifa	2021-06-01	130127.0	1498401.0	90.16326530612244	0.0
Haifa	2021-07-01	242170.35108934398	1380398.8	90.16326530612244	0.0
Haifa	2021-07-01	242170.35108934398	6369.799999999999	90.16326530612244	0.0
Haifa	2021-07-01	242170.35108934398	1380398.8	90.16326530612244	0.0
Haifa	2021-07-01	242170.35108934398	6369.799999999999	90.16326530612244	0.0
Haifa	2021-08-01	256231.4338370387	1403292.5	90.16326530612244	0.0
Haifa	2021-08-01	256231.4338370387	7100.0	90.16326530612244	0.0
Haifa	2021-08-01	256231.4338370387	1403292.5	90.16326530612244	0.0
Haifa	2021-08-01	256231.4338370387	7100.0	90.16326530612244	0.0
