terminal	year	month	date	LP	log_LP	delta	scenario	K	L	KL	log_KL	t_index
Haifa--Bayport	2024	12	2024-12-01	49.02924397763479	3.892416935956961	0.08	high	1361412.9892287974	2260.8255284552847	602.1751665901378	6.400548377386202	41
Haifa--Legacy	2021	7	2021-07-01	0.3411001410610413	-1.0755791760101545	0.04	low	1164523.7279485466	2580.950719154392	451.19952089983514	6.1119096383478135	0
Haifa--Legacy	2021	8	2021-08-01	0.3411001410610413	-1.0755791760101545	0.04	low	1166773.619647259	2730.8078815465105	427.2631654287199	6.057400135865524	1
Haifa--Legacy	2021	9	2021-09-01	0.3411001410610413	-1.0755791760101545	0.04	low	1169046.262361762	2290.201277614755	510.4556851786075	6.235303827134758	2
Haifa--Legacy	2021	10	2021-10-01	1.2724707719681825	0.24096050019500304	0.04	low	1171223.184366132	2606.1548363861057	449.40660010448187	6.107928046124207	3
Haifa--Legacy	2021	11	2021-11-01	1.2724707719681825	0.24096050019500304	0.04	low	1173540.9701467212	2757.3854722550113	425.5991706473271	6.053497989358542	4
Haifa--Legacy	2021	12	2021-12-01	1.2724707719681825	0.24096050019500304	0.04	low	1175762.0013873817	2757.3854722550113	426.404655140884	6.055388790101807	5
Haifa--Legacy	2022	1	2022-01-01	11.263704666920852	2.4215855798710386	0.04	low	1171718.0550274183	2969.3380083915863	394.6058184403559	5.977887338640364	6
Haifa--Legacy	2022	2	2022-02-01	11.263704666920852	2.4215855798710386	0.04	low	1167688.141579984	2969.3380083915863	393.2486427210388	5.97444209049197	7
Haifa--Legacy	2022	3	2022-03-01	11.263704666920852	2.4215855798710386	0.04	low	1163929.7716043922	2969.3380083915863	391.98291616347944	5.97121825762516	8
Haifa--Legacy	2022	4	2022-04-01	30.34189551062019	3.412529447599063	0.04	low	1159926.8252596003	3304.4263011656717	351.0221501536965	5.860849327325763	9
Haifa--Legacy	2022	5	2022-05-01	30.34189551062019	3.412529447599063	0.04	low	1156023.008910459	3304.4263011656717	349.8407601049113	5.857478079823867	10
Haifa--Legacy	2022	6	2022-06-01	30.34189551062019	3.412529447599063	0.04	low	1152047.4783364658	3304.4263011656717	348.63766758243895	5.85403318112815	11
Haifa--Legacy	2022	7	2022-07-01	56.44601540061336	4.033284701755592	0.04	low	1148170.3633007435	3154.5523981500437	363.97251285921794	5.897078350662378	12
Haifa--Legacy	2022	8	2022-08-01	56.44601540061336	4.033284701755592	0.04	low	1144222.059412583	3154.5523981500437	362.72089190326994	5.893633645686693	13
Haifa--Legacy	2022	9	2022-09-01	56.44601540061336	4.033284701755592	0.04	low	1140287.4541322174	3154.5523981500437	361.47361343591183	5.8901890470562535	14
Haifa--Legacy	2022	10	2022-10-01	89.9483844218456	4.499235999388614	0.04	low	1136450.196785607	3898.703183843473	291.49441319235183	5.6750208398859625	15
Haifa--Legacy	2022	11	2022-11-01	89.9483844218456	4.499235999388614	0.04	low	1132542.5358913883	3898.703183843473	290.4921155795424	5.6715764350614855	16
Haifa--Legacy	2022	12	2022-12-01	89.9483844218456	4.499235999388614	0.04	low	1128731.5213318863	3898.703183843473	289.51460732107967	5.668205752807768	17
Haifa--Legacy	2023	1	2023-01-01	54.545538499382424	3.9990359215719358	0.04	low	1124569.3179793986	2803.3808012093723	401.14754210140194	5.9943292950499005	18
Haifa--Legacy	2023	2	2023-02-01	54.545538499382424	3.9990359215719358	0.04	low	1120422.7699163756	2803.3808012093723	399.66841801621376	5.9906352483753595	19
Haifa--Legacy	2023	3	2023-03-01	54.545538499382424	3.9990359215719358	0.04	low	1116565.097617176	2803.3808012093723	398.29233942655674	5.987186256828038	20
Haifa--Legacy	2023	4	2023-04-01	53.04765827150058	3.9711907221724307	0.04	low	1112448.560467342	3018.370483749055	368.5593158483291	5.909601664342916	21
Haifa--Legacy	2023	5	2023-05-01	53.04765827150058	3.9711907221724307	0.04	low	1108437.8763174736	3018.370483749055	367.23055777457313	5.905989873624222	22
Haifa--Legacy	2023	6	2023-06-01	53.04765827150058	3.9711907221724307	0.04	low	1104351.871153427	3018.370483749055	365.8768455029863	5.90229678907992	23
Haifa--Legacy	2023	7	2023-07-01	50.96899869687891	3.9312175792086017	0.04	low	1100370.874799929	2789.650113378685	394.447629658909	5.977486380292238	24
Haifa--Legacy	2023	8	2023-08-01	50.96899869687891	3.9312175792086017	0.04	low	1096315.171590404	2789.650113378685	392.9937902723584	5.973793810910733	25
Haifa--Legacy	2023	9	2023-09-01	50.96899869687891	3.9312175792086017	0.04	low	1177635.3581836412	2789.650113378685	422.1444662668997	6.045347592577383	26
Haifa--Legacy	2023	10	2023-10-01	37.43780453223808	3.622681010259628	0.04	low	1173480.0414717912	2389.492214663643	491.1001736144916	6.196648126566806	27
Haifa--Legacy	2023	11	2023-11-01	37.43780453223808	3.622681010259628	0.04	low	1169251.4948046664	2389.492214663643	489.33053124395974	6.193038194149274	28
Haifa--Legacy	2023	12	2023-12-01	37.43780453223808	3.622681010259628	0.04	low	1165126.4277455767	2389.492214663643	487.6041949814788	6.189504000895536	29
Haifa--Legacy	2024	1	2024-01-01	44.60339760976034	3.79781003571554	0.04	low	1148415.256034505	2406.315894308943	477.25041369280086	6.1680413294316745	30
Haifa--Legacy	2024	2	2024-02-01	44.60339760976034	3.79781003571554	0.04	low	1132058.3422223488	2406.315894308943	470.45292137234486	6.153695893173838	31
Haifa--Legacy	2024	3	2024-03-01	44.60339760976034	3.79781003571554	0.04	low	1116975.5105675063	2406.315894308943	464.1849032411784	6.140282971211478	32
Haifa--Legacy	2024	4	2024-04-01	42.89105004796993	3.758663180578598	0.04	low	1101281.8323820604	2087.916666666667	527.4548788100069	6.26806332389072	33
Haifa--Legacy	2024	5	2024-05-01	42.89105004796993	3.758663180578598	0.04	low	1086362.6668800516	2087.916666666667	520.3093994236925	6.2544236335255325	34
Haifa--Legacy	2024	6	2024-06-01	42.89105004796993	3.758663180578598	0.04	low	1071313.5776001457	2087.916666666667	513.1016935223207	6.240474058512187	35
Haifa--Legacy	2024	7	2024-07-01	36.30157228060922	3.5918610538482074	0.04	low	1178386.509993137	2266.458008130081	519.9242632186922	6.253683153311462	36
Haifa--Legacy	2024	8	2024-08-01	36.30157228060922	3.5918610538482074	0.04	low	1163586.225411626	2266.458008130081	513.3941247698789	6.24104382460428	37
Haifa--Legacy	2024	9	2024-09-01	36.30157228060922	3.5918610538482074	0.04	low	1149089.5849308618	2266.458008130081	506.9979592866611	6.228506978507464	38
Haifa--Legacy	2024	10	2024-10-01	40.20398006166053	3.6939659972331227	0.04	low	1135285.042797584	2260.8255284552847	502.1550882669264	6.218909012750125	39
Haifa--Legacy	2024	11	2024-11-01	40.20398006166053	3.6939659972331227	0.04	low	1121366.1655556308	2260.8255284552847	495.9985418785532	6.206572986959625	40
Haifa--Legacy	2024	12	2024-12-01	40.20398006166053	3.6939659972331227	0.04	low	1167982.9011381282	2260.8255284552847	516.6178842363638	6.247303499180522	41
Haifa--Legacy	2021	7	2021-07-01	0.3411001410610413	-1.0755791760101545	0.06	central	1107978.835761915	2580.950719154392	429.2909692304884	6.062134938974985	0
Haifa--Legacy	2021	8	2021-08-01	0.3411001410610413	-1.0755791760101545	0.06	central	1108486.0725197622	2730.8078815465105	405.9187319658696	6.006152971993781	1
Haifa--Legacy	2021	9	2021-09-01	0.3411001410610413	-1.0755791760101545	0.06	central	1109002.936504404	2290.201277614755	484.2381965917995	6.1825769273732085	2
Haifa--Legacy	2021	10	2021-10-01	1.2724707719681825	0.24096050019500304	0.06	central	1109468.1474811663	2606.1548363861057	425.7107567022533	6.053760140784198	3
Haifa--Legacy	2021	11	2021-11-01	1.2724707719681825	0.24096050019500304	0.06	central	1110004.0982248294	2757.3854722550113	402.5567369501876	5.997836048291424	4
Haifa--Legacy	2021	12	2021-12-01	1.2724707719681825	0.24096050019500304	0.06	central	1110488.0527900402	2757.3854722550113	402.7322490684896	5.998271946767941	5
Haifa--Legacy	2022	1	2022-01-01	11.263704666920852	2.4215855798710386	0.06	central	1104674.2239139164	2969.3380083915863	372.02710529822434	5.91896671532362	6
Haifa--Legacy	2022	2	2022-02-01	11.263704666920852	2.4215855798710386	0.06	central	1098894.5098070288	2969.3380083915863	370.0806397592545	5.913720927186927	7
Haifa--Legacy	2022	3	2022-03-01	11.263704666920852	2.4215855798710386	0.06	central	1093572.7979047308	2969.3380083915863	368.2884180966285	5.908866376029128	8
Haifa--Legacy	2022	4	2022-04-01	30.34189551062019	3.412529447599063	0.06	central	1087857.8152839402	3304.4263011656717	329.2123098342931	5.796702861282097	9
