port	company	operator_or_owner	month	year	K_low	K_central	K_high	K_HPC_low	K_HPC_central	K_HPC_high	K_IPC_low	K_IPC_central	K_IPC_high	K_SIPG_low	K_SIPG_central	K_SIPG_high	K_cluster_low	K_cluster_central	K_cluster_high
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2020-02-01	2020	12237550.99600109	11966478.602160258	11696363.022434074	1115532.0199911497	1087575.3131069066	1059625.7505323526	12237550.99600109	11966478.602160258	11696363.022434074	0.0	0.0	0.0	13353083.015992241	13054053.915267166	12755988.772966428
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2020-02-01	2020	0.0	0.0	0.0	1115532.0199911497	1087575.3131069066	1059625.7505323526	12237550.99600109	11966478.602160258	11696363.022434074	0.0	0.0	0.0	13353083.015992241	13054053.915267166	12755988.772966428
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2020-03-01	2020	1100804.656961448	1070863.0421612624	1040957.6545397784	1100804.656961448	1070863.0421612624	1040957.6545397784	12242320.304262849	11952924.116456367	11665019.220585428	0.0	0.0	0.0	13343124.961224297	13023787.158617629	12705976.875125207
Haifa	Haifa cluster (HPC + IPC + SIPG)	Haifa port cluster (HPC + IPC + SIPG)	2020-03-01	2020	13343124.961224297	13023787.158617629	12705976.875125207	1100804.656961448	1070863.0421612624	1040957.6545397784	12242320.304262849	11952924.116456367	11665019.220585428	0.0	0.0	0.0	13343124.961224297	13023787.158617629	12705976.875125207
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2020-03-01	2020	12242320.304262849	11952924.116456367	11665019.220585428	1100804.656961448	1070863.0421612624	1040957.6545397784	12242320.304262849	11952924.116456367	11665019.220585428	0.0	0.0	0.0	13343124.961224297	13023787.158617629	12705976.875125207
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2020-03-01	2020	0.0	0.0	0.0	1100804.656961448	1070863.0421612624	1040957.6545397784	12242320.304262849	11952924.116456367	11665019.220585428	0.0	0.0	0.0	13343124.961224297	13023787.158617629	12705976.875125207
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2020-04-01	2020	1085384.6293226453	1053412.606553563	1021524.5054329756	1085384.6293226453	1053412.606553563	1021524.5054329756	12247420.585786749	11938451.81619828	11631606.655194238	0.0	0.0	0.0	13332805.215109393	12991864.422751844	12653131.160627214
Haifa	Haifa cluster (HPC + IPC + SIPG)	Haifa port cluster (HPC + IPC + SIPG)	2020-04-01	2020	13332805.215109393	12991864.422751844	12653131.160627214	1085384.6293226453	1053412.606553563	1021524.5054329756	12247420.585786749	11938451.81619828	11631606.655194238	0.0	0.0	0.0	13332805.215109393	12991864.422751844	12653131.160627214
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2020-04-01	2020	12247420.585786749	11938451.81619828	11631606.655194238	1085384.6293226453	1053412.606553563	1021524.5054329756	12247420.585786749	11938451.81619828	11631606.655194238	0.0	0.0	0.0	13332805.215109393	12991864.422751844	12653131.160627214
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2020-04-01	2020	0.0	0.0	0.0	1085384.6293226453	1053412.606553563	1021524.5054329756	12247420.585786749	11938451.81619828	11631606.655194238	0.0	0.0	0.0	13332805.215109393	12991864.422751844	12653131.160627214
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2020-05-01	2020	1070685.49068782	1036835.7963387432	1003131.4611581976	1070685.49068782	1036835.7963387432	1003131.4611581976	12252358.365213994	11924463.048494965	11599363.041116187	0.0	0.0	0.0	13323043.855901813	12961298.844833707	12602494.502274385
Haifa	Haifa cluster (HPC + IPC + SIPG)	Haifa port cluster (HPC + IPC + SIPG)	2020-05-01	2020	13323043.855901813	12961298.844833707	12602494.502274385	1070685.49068782	1036835.7963387432	1003131.4611581976	12252358.365213994	11924463.048494965	11599363.041116187	0.0	0.0	0.0	13323043.855901813	12961298.844833707	12602494.502274385
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2020-05-01	2020	12252358.365213994	11924463.048494965	11599363.041116187	1070685.49068782	1036835.7963387432	1003131.4611581976	12252358.365213994	11924463.048494965	11599363.041116187	0.0	0.0	0.0	13323043.855901813	12961298.844833707	12602494.502274385
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2020-05-01	2020	0.0	0.0	0.0	1070685.49068782	1036835.7963387432	1003131.4611581976	12252358.365213994	11924463.048494965	11599363.041116187	0.0	0.0	0.0	13323043.855901813	12961298.844833707	12602494.502274385
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2020-06-01	2020	1055782.2670067977	1020079.7060822414	984600.7122579383	1055782.2670067977	1020079.7060822414	984600.7122579383	12257462.828701405	11910025.208183054	11566138.537257416	0.0	0.0	0.0	13313245.095708203	12930104.914265295	12550739.249515355
Haifa	Haifa cluster (HPC + IPC + SIPG)	Haifa port cluster (HPC + IPC + SIPG)	2020-06-01	2020	13313245.095708203	12930104.914265295	12550739.249515355	1055782.2670067977	1020079.7060822414	984600.7122579383	12257462.828701405	11910025.208183054	11566138.537257416	0.0	0.0	0.0	13313245.095708203	12930104.914265295	12550739.249515355
