family	series_id	series_display	is_main_series	reform	reform_display	spec_name	event_time	event_token	is_reference	observed_in_sample	beta	se	pvalue	n_obs	r2
exact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	0	0	0	1	-0.05012421189394711	1.3110226111494893e-13	0.0	36	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	1	1	0	1	0.05536751303312727	1.8089912380368561e-13	0.0	36	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	2	2	0	1	-0.2327570384036166	2.294227818566102e-13	0.0	36	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	3	3	0	1	-0.31059845232014227	2.669369588607906e-13	0.0	36	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	4	4	0	1	-0.26736702194785433	2.9949414698363495e-13	0.0	36	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	5	5	0	1	-0.26713530003694197	3.3126564857764453e-13	0.0	36	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	6	6	0	1	-0.34326218865310754	3.628372437008255e-13	0.0	36	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	7	7	0	1	-0.20342137510615568	3.9152400548354433e-13	0.0	36	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	8	8	0	1	-0.40372539601703217	3.71945150459294e-13	0.0	36	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	9	9	0	1	0.11144812430324613	2.561499580985242e-13	0.0	36	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	10	10	0	1	0.2486917241675619	2.623729021530873e-13	0.0	36	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	11	11	0	1	0.3659248611890935	2.47740798447829e-13	0.0	36	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	12	12	0	1	0.21354114470888685	2.3581930043738533e-13	0.0	36	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	13	13	0	1	0.008172472901348815	2.033042551221278e-13	0.0	36	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	14	14	0	1	-0.2408657070408804	1.9762322984605263e-13	0.0	36	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	15	15	0	1	0.22470739838290932	2.2233204190300721e-13	0.0	36	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	16	16	0	1	-0.2709212960976495	2.2106585561337036e-13	0.0	36	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	17	17	0	1	0.15959695252585648	2.2042359951425456e-13	0.0	36	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	18	18	0	1	0.09479805304045463	2.2062454889534018e-13	0.0	36	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	19	19	0	1	-0.10527826942352236	2.2379972298922562e-13	0.0	36	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	20	20	0	1	-0.13036743949064622	2.340725791741982e-13	0.0	36	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	21	21	0	1	-0.286489265705713	2.4865752482027846e-13	0.0	36	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	22	22	0	1	-0.2840444972105667	2.670412843163432e-13	0.0	36	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	23	23	0	1	-0.36241827903719015	2.9298604944632783e-13	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	-12	-12	0	1	0.16106518311237306	5.178925639311114e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	-11	-11	0	1	0.0700979416264819	3.2023728339893468e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	-10	-10	0	1	0.1837386809567665	5.958081967793372e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	-9	-9	0	1	0.16265433728389933	3.2023728339893294e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	-8	-8	0	1	-0.06263310101654174	5.1789256393111e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	-7	-7	0	1	-0.005876155691645826	5.607293624718421e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	-6	-6	0	1	-0.07345190742102226	7.669842543786681e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	-5	-5	0	1	-0.08530415823856809	2.4896170040261415e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	-4	-4	0	1	-0.04966972047085161	5.178925639311045e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	-3	-3	0	1	-0.07550969744388232	2.1231525148379768e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	-2	-2	0	1	0.012870933022233189	4.165926057296473e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	0	0	0	1	0.08362449415859174	1.869097874905994e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	1	1	0	1	-0.04441190377810787	1.869097874906164e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	2	2	0	1	0.05299963072147307	4.3898456658974225e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	3	3	0	1	0.021486640393659377	2.4896170040260236e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	4	4	0	1	-0.17204295742337017	2.74782201154204e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	5	5	0	1	-0.16856114164873406	2.9837658734381086e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	6	6	0	1	-0.24249211374158897	3.768221900840988e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	7	7	0	1	-0.07123238812913246	2.8086667748611803e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	8	8	0	1	0.1165418623225083	5.1789256393110656e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	9	9	0	1	0.1182399139645118	3.2023728339892364e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	10	10	0	1	0.4297134790693464	5.958081967793382e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	11	11	0	1	0.4125759570773742	2.8086667748613318e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	12	12	0	1	0.8516863210922754	5.9580819677934184e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	13	13	0	1	0.932599092249702	3.2023728339893705e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	14	14	0	1	1.997596679431295	2.6645352591002795e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	15	15	0	1	2.046025741682768	3.768221900841017e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	16	16	0	1	0.2848228670693276	2.0835039877610527e-15	0.0	37	1.0
