port	terminal	year	month	month_index	quarter	TEU_port_m	share_i_p_q	TEU_i_m	tons_port_m	tons_i_m	TEU_i_y	Pi_teu_per_hour_i_y	H_annual_i_y	quarter_index	tons_port_q	activity_i_q_raw	activity_i_y	w_i_q_in_year	L_hours_i_q	active_months_in_q	is_active_month	w_i_m_in_year	L_hours_i_m	anchor_mode	labor_weight_source	teu_month_source	kpi_backfill_source
Haifa	Haifa-Legacy	2022	4	202204	Q2	145351.26918266682	0.25206241018791814	119892.3818473031	1425364.8	1242280.385	1070600.0	47.0	22778.72340425532	20222	8069565.2	2034034.0534805497	6864218.006115511	0.29632422100643885	6749.887468287095	3	1.0	0.0987747403354796	2249.9624894290314	work_only	quarter_flat_with_first_supported_quarter	quarter_benchmarked_by_tons	
Haifa	Haifa-Legacy	2022	5	202205	Q2	140243.87221216442	0.25206241018791814	99232.52370659646	1323138.6	1028210.5990000002	1070600.0	47.0	22778.72340425532	20222	8069565.2	2034034.0534805497	6864218.006115511	0.29632422100643885	6749.887468287095	3	1.0	0.0987747403354796	2249.9624894290314	work_only	quarter_flat_with_first_supported_quarter	quarter_benchmarked_by_tons	
Haifa	Haifa-Legacy	2022	6	202206	Q2	135190.85860516876	0.25206241018791814	99068.09444610043	1286279.2	1026506.8439999999	1070600.0	47.0	22778.72340425532	20222	8069565.2	2034034.0534805497	6864218.006115511	0.29632422100643885	6749.887468287095	3	1.0	0.0987747403354796	2249.9624894290314	work_only	quarter_flat_with_first_supported_quarter	quarter_benchmarked_by_tons	
Haifa	Haifa-Legacy	2022	7	202207	Q3	126783.52644127823	0.21978657945420327	89544.25948873695	1109435.5	752849.628	1070600.0	47.0	22778.72340425532	20223	6410618.4	1408967.8903221774	6864218.006115511	0.20526269548357748	4675.6221656323	3	1.0	0.06842089849452583	1558.5407218774333	work_only	quarter_flat_with_first_supported_quarter	quarter_benchmarked_by_tons	
Haifa	Haifa-Legacy	2022	8	202208	Q3	132034.17283312225	0.21978657945420327	91346.32144423808	1157608.5	768000.59	1070600.0	47.0	22778.72340425532	20223	6410618.4	1408967.8903221774	6864218.006115511	0.20526269548357748	4675.6221656323	3	1.0	0.06842089849452583	1558.5407218774333	work_only	quarter_flat_with_first_supported_quarter	quarter_benchmarked_by_tons	
Haifa	Haifa-Legacy	2022	9	202209	Q3	105197.55072559949	0.21978657945420327	59126.41906702495	938265.2000000001	497109.5060000001	1070600.0	47.0	22778.72340425532	20223	6410618.4	1408967.8903221774	6864218.006115511	0.20526269548357748	4675.6221656323	3	1.0	0.06842089849452583	1558.5407218774333	work_only	quarter_flat_with_first_supported_quarter	quarter_benchmarked_by_tons	
Haifa	Haifa-Legacy	2022	10	202210	Q4	140656.93839462573	0.15946847209208315	93964.8433688512	926270.6	460974.56499999994	1070600.0	47.0	22778.72340425532	20224	4980182.2	794182.0461741893	6864218.006115511	0.11569883786712948	2635.471825969124	3	1.0	0.03856627928904316	878.4906086563747	work_only	quarter_flat_with_first_supported_quarter	quarter_benchmarked_by_tons	
Haifa	Haifa-Legacy	2022	11	202211	Q4	93274.77131676266	0.15946847209208315	32611.050525137787	764510.0	159983.929	1070600.0	47.0	22778.72340425532	20224	4980182.2	794182.0461741893	6864218.006115511	0.11569883786712948	2635.471825969124	3	1.0	0.03856627928904316	878.4906086563747	work_only	quarter_flat_with_first_supported_quarter	quarter_benchmarked_by_tons	
Haifa	Haifa-Legacy	2022	12	202212	Q4	96110.54028861159	0.15946847209208315	31318.106106011008	799310.5	153640.97699999996	1070600.0	47.0	22778.72340425532	20224	4980182.2	794182.0461741893	6864218.006115511	0.11569883786712948	2635.471825969124	3	1.0	0.03856627928904316	878.4906086563747	work_only	quarter_flat_with_first_supported_quarter	quarter_benchmarked_by_tons	
Haifa	Haifa-Legacy	2023	1	202301	Q1	156009.4354391012	0.14465604366102894	80386.66154083227	926311.6	107514.304	732092.0	49.0	14940.65306122449	20231	5264683.8	761568.3296343117	3700528.7525058794	0.20579986822656143	3074.7844312187717	3	1.0	0.06859995607552047	1024.9281437395905	work_only	quarter_flat_with_first_supported_quarter	quarter_benchmarked_by_tons	
Haifa	Haifa-Legacy	2023	2	202302	Q1	151874.70963866188	0.14465604366102894	87257.05337414455	816343.7999999999	116703.20899999992	732092.0	49.0	14940.65306122449	20231	5264683.8	761568.3296343117	3700528.7525058794	0.20579986822656143	3074.7844312187717	3	1.0	0.06859995607552047	1024.9281437395905	work_only	quarter_flat_with_first_supported_quarter	quarter_benchmarked_by_tons	
Haifa	Haifa-Legacy	2023	3	202303	Q1	84471.85492223696	0.14465604366102894	2626.2850850231766	889686.5	3512.5629999999655	732092.0	49.0	14940.65306122449	20231	5264683.8	761568.3296343117	3700528.7525058794	0.20579986822656143	3074.7844312187717	3	1.0	0.06859995607552047	1024.9281437395905	work_only	quarter_flat_with_first_supported_quarter	quarter_benchmarked_by_tons	
Haifa	Haifa-Legacy	2023	4	202304	Q2	105935.7461691156	0.15090397626659782	22417.289493117798	992506.2000000001	82931.98200000008	732092.0	49.0	14940.65306122449	20232	6461111.800000001	975007.4617230352	3700528.7525058794	0.2634778776040563	3936.531558589975	3	1.0	0.0878259592013521	1312.1771861966583	work_only	quarter_flat_with_first_supported_quarter	quarter_benchmarked_by_tons	
Haifa	Haifa-Legacy	2023	5	202305	Q2	169420.74838583983	0.15090397626659782	93472.0454981467	1172930.9000000001	345796.5780000001	732092.0	49.0	14940.65306122449	20232	6461111.800000001	975007.4617230352	3700528.7525058794	0.2634778776040563	3936.531558589975	3	1.0	0.0878259592013521	1312.1771861966583	work_only	quarter_flat_with_first_supported_quarter	quarter_benchmarked_by_tons	
Haifa	Haifa-Legacy	2023	6	202306	Q2	147760.25544504458	0.15090397626659782	75660.6650087355	1065118.8	279903.99600000004	732092.0	49.0	14940.65306122449	20232	6461111.800000001	975007.4617230352	3700528.7525058794	0.2634778776040563	3936.531558589975	3	1.0	0.0878259592013521	1312.1771861966583	work_only	quarter_flat_with_first_supported_quarter	quarter_benchmarked_by_tons	
