port	terminal	year	month	date	L_hours
Haifa	Haifa-Legacy	2023	4	2023-04-30	1312.1771861966583
Haifa	Haifa-Legacy	2023	5	2023-05-31	1312.1771861966583
Haifa	Haifa-Legacy	2023	6	2023-06-30	1312.1771861966583
Haifa	Haifa-Legacy	2023	7	2023-07-31	1255.8659441509797
Haifa	Haifa-Legacy	2023	8	2023-08-31	1255.8659441509797
Haifa	Haifa-Legacy	2023	9	2023-09-30	1255.8659441509797
Haifa	Haifa-Legacy	2023	10	2023-10-31	1387.2464129876014
Haifa	Haifa-Legacy	2023	11	2023-11-30	1387.2464129876014
Haifa	Haifa-Legacy	2023	12	2023-12-31	1387.2464129876014
Haifa	Haifa-Legacy	2024	1	2024-01-31	1187.7713472178557
Haifa	Haifa-Legacy	2024	2	2024-02-29	1187.7713472178557
Haifa	Haifa-Legacy	2024	3	2024-03-31	1187.7713472178557
Haifa	Haifa-Legacy	2024	4	2024-04-30	1168.7025804021491
Haifa	Haifa-Legacy	2024	5	2024-05-31	1168.7025804021491
Haifa	Haifa-Legacy	2024	6	2024-06-30	1168.7025804021491
Haifa	Haifa-Legacy	2024	7	2024-07-31	1465.6506746457103
Haifa	Haifa-Legacy	2024	8	2024-08-31	1465.6506746457103
Haifa	Haifa-Legacy	2024	9	2024-09-30	1465.6506746457103
Haifa	Haifa-Legacy	2024	10	2024-10-31	1444.2981619619268
Haifa	Haifa-Legacy	2024	11	2024-11-30	1444.2981619619268
Haifa	Haifa-Legacy	2024	12	2024-12-31	1444.2981619619268
