model	reform	target	fe_type	spec_name	event_time	j	beta_hat	se	tvalue	pvalue	N_m	n_obs	treated_n	control_n	cov_type	cluster_by	r2
1B	haifa_comp	Haifa-Legacy K/L	baseline	baseline	3	3	-0.4285484196083233	0.1831354018933226	-2.3400632274144084	0.0192804755015795	1	482	38	444	HC1		0.797636672896253
1B	haifa_comp	Haifa-Legacy K/L	baseline	baseline	4	4	-0.3523416821630181	0.1855423800281816	-1.8989822277234003	0.0575668127473292	1	482	38	444	HC1		0.797636672896253
1B	haifa_comp	Haifa-Legacy K/L	baseline	baseline	5	5	-0.3600459461064364	0.1879777150835186	-1.9153650524290484	0.0554459647538832	1	482	38	444	HC1		0.797636672896253
1B	haifa_comp	Haifa-Legacy K/L	baseline	baseline	6	6	-0.367101370913252	0.1902050405191686	-1.930029666465416	0.0536031620404149	1	482	38	444	HC1		0.797636672896253
1B	haifa_comp	Haifa-Legacy K/L	baseline	baseline	7	7	-0.1598647021491453	0.1926910759478367	-0.8296424801344833	0.4067409514325431	1	482	38	444	HC1		0.797636672896253
1B	haifa_comp	Haifa-Legacy K/L	baseline	baseline	8	8	-0.1673819262687561	0.1951221517070695	-0.8578314907066069	0.3909855183449828	1	482	38	444	HC1		0.797636672896253
1B	haifa_comp	Haifa-Legacy K/L	baseline	baseline	9	9	-0.1751314937984064	0.1976562209410729	-0.8860408894016962	0.3755954937178476	1	482	38	444	HC1		0.797636672896253
1B	haifa_comp	Haifa-Legacy K/L	baseline	baseline	10	10	0.0528600599755098	0.200131829196567	0.2641262021524387	0.7916826741961182	1	482	38	444	HC1		0.797636672896253
1B	haifa_comp	Haifa-Legacy K/L	baseline	baseline	11	11	0.0450859951178858	0.2027098767708396	0.2224163708059222	0.8239897689036798	1	482	38	444	HC1		0.797636672896253
1B	haifa_comp	Haifa-Legacy K/L	baseline	baseline	12	12	0.0372991054224147	0.2053088117698723	0.1816731834395047	0.8558392122405782	1	482	38	444	HC1		0.797636672896253
1B	haifa_comp	Haifa-Legacy K/L	baseline	baseline	13	13	0.6603046558953207	0.2078445425407338	3.1769160153238696	0.0014885013421599	1	482	38	444	HC1		0.797636672896253
1B	haifa_comp	Haifa-Legacy K/L	baseline	baseline	14	14	0.6524916413452337	0.2104819426095382	3.099988689080378	0.0019352803291878	1	482	38	444	HC1		0.797636672896253
1B	haifa_comp	Haifa-Legacy K/L	baseline	baseline	15	15	0.6448880468235269	0.2130533176746144	3.0268857291789826	0.0024708734597907	1	482	38	444	HC1		0.797636672896253
1B	haifa_comp	Haifa-Legacy K/L	baseline	baseline	16	16	0.2797689990365577	0.2128784304429043	1.314219568673464	0.1887723250214632	1	482	38	444	HC1		0.797636672896253
1B	haifa_comp	Haifa-Legacy K/L	baseline	baseline	17	17	0.2782588169201457	0.212704940695722	1.30819160105077	0.1908083301203174	1	482	38	444	HC1		0.797636672896253
1B	haifa_comp	Haifa-Legacy K/L	baseline	baseline	18	18	0.2768072345907213	0.2125545332952815	1.3022880777902754	0.1928179256753646	1	482	38	444	HC1		0.797636672896253
