design	table_group	reform	target	target_key	spec_name	event_time	m	j	beta	se	t	pvalue	n_event_obs	n_obs	r2	spec_display
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-2	-2	-2	0.0777531591472229	inf		1.0	1.0	72	1.0	Baseline
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	0	0	0	0.4350273171134852	inf		1.0	1.0	72	1.0	Baseline
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	1	1	1	0.6714911419679391	inf		1.0	1.0	72	1.0	Baseline
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	2	2	2	-3.0727281566246365	inf		1.0	1.0	72	1.0	Baseline
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	3	3	3	0.0565240085475806	inf		1.0	1.0	72	1.0	Baseline
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	4	4	4	1.5712330488553532	inf		1.0	1.0	72	1.0	Baseline
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	5	5	5	1.401950231376324	inf		1.0	1.0	72	1.0	Baseline
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	6	6	6	1.3032391616101358	inf		1.0	1.0	72	1.0	Baseline
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	7	7	7	1.9654840291673852	inf		1.0	1.0	72	1.0	Baseline
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	8	8	8	0.8442211872840262	inf		1.0	1.0	72	1.0	Baseline
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	9	9	9	2.4417072105686612	inf		1.0	1.0	72	1.0	Baseline
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	10	10	10	2.124325727476559	inf		1.0	1.0	72	1.0	Baseline
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	11	11	11	2.1117637881817184	inf		1.0	1.0	72	1.0	Baseline
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	12	12	12	1.6409350079123453	inf		1.0	1.0	72	1.0	Baseline
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	13	13	13	1.6158750528090104	inf		1.0	1.0	72	1.0	Baseline
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	14	14	14	0.6638853570312173	inf		1.0	1.0	72	1.0	Baseline
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	15	15	15	2.0444616246906224	inf		1.0	1.0	72	1.0	Baseline
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	16	16	16	0.8856408309470292	inf		1.0	1.0	72	1.0	Baseline
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	17	17	17	2.040006377770619	inf		1.0	1.0	72	1.0	Baseline
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	18	18	18	2.2084951417700216	inf		1.0	1.0	72	1.0	Baseline
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	19	19	19	2.084930102151692	inf		1.0	1.0	72	1.0	Baseline
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	20	20	20	2.1932339504959826	inf		1.0	1.0	72	1.0	Baseline
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	21	21	21	2.0038080948204073	inf		1.0	1.0	72	1.0	Baseline
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	22	22	22	2.2157907653909863	inf		1.0	1.0	72	1.0	Baseline
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	23	23	23	1.9259178739388365	inf		1.0	1.0	72	1.0	Baseline
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	-12	-12	-12	2.041840217020783	0.1727848538717454	11.817240755005058	3.1795686021774107e-32	1.0	72	0.3182604866052884	Relaxed+Tr
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	-11	-11	-11	1.9042606653644216	0.1570771398834019	12.123092302151358	7.96943924538333e-34	1.0	72	0.3182604866052884	Relaxed+Tr
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	-10	-10	-10	1.557740269210064	0.1413694258950625	11.018933261894713	3.097075010367229e-28	1.0	72	0.3182604866052884	Relaxed+Tr
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	-9	-9	-9	1.0867759029449031	0.125661711906722	8.648425096672332	5.221500695153791e-18	1.0	72	0.3182604866052884	Relaxed+Tr
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	-8	-8	-8	0.6196611176868307	0.1099539979183814	5.635639716773224	1.744096728146642e-08	1.0	72	0.3182604866052884	Relaxed+Tr
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	-7	-7	-7	0.760253544996393	0.0942462839300424	8.06666866102347	7.22422591852662e-16	1.0	72	0.3182604866052884	Relaxed+Tr
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	-6	-6	-6	0.4608953088974203	0.0785385699417009	5.868394461976356	4.400353536290827e-09	1.0	72	0.3182604866052884	Relaxed+Tr
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	-5	-5	-5	0.3932022620287358	0.0628308559533609	6.258107677549514	3.8967674433458414e-10	1.0	72	0.3182604866052884	Relaxed+Tr
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	-4	-4	-4	0.2929770976704349	0.0471231419650211	6.217265773320205	5.058924975613209e-10	1.0	72	0.3182604866052884	Relaxed+Tr
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	-3	-3	-3	0.2665788251471325	0.0314154279766808	8.485602212550148	2.1460439551700882e-17	1.0	72	0.3182604866052884	Relaxed+Tr
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	-2	-2	-2	0.0342158084614068	0.0157077139883401	2.1782805879203817	0.0293851534857951	1.0	72	0.3182604866052884	Relaxed+Tr
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	0	0	0	-0.01085171712936	0.0157077139883401	-0.690852732448229	0.4896580929907131	1.0	72	0.3182604866052884	Relaxed+Tr
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	1	1	1	0.1339125025622739	0.0314154279766802	4.262634991370407	2.020303769556217e-05	1.0	72	0.3182604866052884	Relaxed+Tr
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	2	2	2	-0.1149395541098741	0.0471231419650204	-2.439131800574628	0.0147225974541109	1.0	72	0.3182604866052884	Relaxed+Tr
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	3	3	3	-0.1535084732617949	0.0628308559533604	-2.4432020053291126	0.0145575863561537	1.0	72	0.3182604866052884	Relaxed+Tr
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	4	4	4	-0.0710045481249395	0.0785385699417005	-0.9040723325831675	0.3659570480097878	1.0	72	0.3182604866052884	Relaxed+Tr
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	5	5	5	-0.0315003314494482	0.094246283930041	-0.334234201454892	0.738202837496514	1.0	72	0.3182604866052884	Relaxed+Tr
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	6	6	6	-0.0683547253010168	0.1099539979183807	-0.6216665750685738	0.5341611345519248	1.0	72	0.3182604866052884	Relaxed+Tr
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	7	7	7	0.1107585830105535	0.1256617119067212	0.8814027863377324	0.3780998500990902	1.0	72	0.3182604866052884	Relaxed+Tr
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	8	8	8	-0.0502729431357868	0.1413694258950612	-0.3556139725226344	0.7221296782597774	1.0	72	0.3182604866052884	Relaxed+Tr
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	9	9	9	0.2506690491622695	0.1570771398834014	1.5958340554732628	0.1105258477219952	1.0	72	0.3182604866052884	Relaxed+Tr
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	10	10	10	0.427185143791208	0.1727848538717415	2.472352953507766	0.0134226920998045	1.0	72	0.3182604866052884	Relaxed+Tr
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	11	11	11	0.5836907755773193	0.1884925678600824	3.096624881308802	0.0019573739543074	1.0	72	0.3182604866052884	Relaxed+Tr
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	12	12	12	0.4705795538616941	0.2042002818484224	2.3045000212634603	0.0211945911570525	1.0	72	0.3182604866052884	Relaxed+Tr
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	13	13	13	0.3044833768187102	0.2199079958367622	1.3845943875761948	0.1661765285785658	1.0	72	0.3182604866052884	Relaxed+Tr
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	14	14	14	0.0947176916410743	0.2356157098251021	0.4020007482157425	0.6876834756255774	1.0	72	0.3182604866052884	Relaxed+Tr
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	15	15	15	0.599563291829471	0.2513234238134425	2.385624398760885	0.0170501548303765	1.0	72	0.3182604866052884	Relaxed+Tr
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	16	16	16	0.1432070921134975	0.2670311378017831	0.5362936071515376	0.5917556481446735	1.0	72	0.3182604866052884	Relaxed+Tr
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	17	17	17	0.6129978355015854	0.2827388517901231	2.168070753702478	0.0301533036512022	1.0	72	0.3182604866052884	Relaxed+Tr
